i, score
0, 58.204223584676384
1, 58.08095767081769
2, 58.08095767081769
3, 58.08095767081769
4, 58.26730467440022
5, 58.26730467440022
6, 58.364308306729114
7, 58.480413256951095
8, 58.51324380089824
9, 58.75497013738187
10, 58.940322365129404
11, 58.9027781547774
12, 59.031775986991924
13, 59.28261512583464
14, 59.28261512583464
15, 59.348100524938275
16, 59.43082878958508
17, 59.510824573299686
18, 59.7463960666993
19, 59.77696384148372
20, 59.81941116478191
21, 59.93790768656349
22, 59.94594187709037
23, 60.05419783681026
24, 60.19329107750252
25, 60.17734593464249
26, 60.304341418714934
27, 60.40298040763544
28, 60.52804154734055
29, 60.589129943404956
30, 60.718404562118124
31, 60.85713055984246
32, 60.86339802694514
33, 61.032898986812015
34, 60.99760321091051
35, 61.25599421710693
36, 61.18591426854549
37, 61.31186694279313
38, 61.31186694279313
39, 61.40394011765725
40, 61.4085638582305
41, 61.523250445716066
42, 61.649673103920954
43, 61.66472716292299
44, 61.969042001930795
45, 61.969042001930795
46, 62.145603545699494
47, 62.099833002131554
48, 62.32689263531627
49, 62.34890450780346
50, 62.39113902349732
51, 62.39113902349732
52, 62.51481293665877
53, 62.51481293665877
54, 62.796660523663064
55, 62.84529717317136
56, 62.8248593661271
57, 62.8643594962933
58, 62.98365112512493
59, 62.98470035431123
60, 63.10125056206985
61, 63.290103779356784
62, 63.19475867243398
63, 63.205638016194996
64, 63.465055632959704
65, 63.575062071262195
66, 63.630855296415675
67, 63.725551351945434
68, 63.725551351945434
69, 63.82939978278161
70, 63.95657682929914
71, 63.95657682929913
72, 64.04887504071566
73, 64.16729302279003
74, 64.14595667913062
75, 64.23816847087176
76, 64.24932755993542
77, 64.393838428241
78, 64.39591703989083
79, 64.41060517205534
80, 64.41060517205536
81, 64.4295327172954
82, 64.46635979696235
83, 64.53308531399001
84, 64.77290181891941
85, 64.78010773876848
86, 64.80552620064061
87, 64.83400544296605
88, 65.0845625358674
89, 64.96389021098105
90, 64.96878748510039
91, 65.09554106524423
92, 65.09554106524423
93, 65.20659937870585
94, 65.24770948245346
95, 65.25534113611812
96, 65.32140481172678
97, 65.39320993710501
98, 65.43455450229281
99, 65.50342579821974
100, 65.51778194595502
101, 65.73315663881479
102, 65.73315663881479
103, 65.74474955180709
104, 66.06042753530451
105, 66.11268745848032
106, 66.29312755485256
107, 66.1519486705713
108, 66.29312755485256
109, 66.29312755485256
110, 66.34392273770126
111, 66.35063805045436
112, 66.35063805045436
113, 66.36614987156632
114, 66.39352688126077
115, 66.46997276834072
116, 66.41443974503619
117, 66.50411464547382
118, 66.51284266852734
119, 66.51817647938132
120, 66.52012847196418
121, 66.52012847196418
122, 66.53978990122994
123, 66.53473135349408
124, 66.53321639227522
125, 66.77092896430155
126, 66.77092896430156
127, 66.7723692288339
128, 66.77550258394695
129, 66.88913919638647
130, 66.88913919638647
131, 66.89623774549776
132, 66.97844554322518
133, 66.97108855157968
134, 67.32213066363265
135, 67.09379276356505
136, 67.10445394281813
137, 67.10404739080606
138, 67.20190671867765
139, 67.39093016523225
140, 67.39392243183647
141, 67.52120408514708
142, 67.39093016523225
143, 67.52120408514708
144, 67.52120408514708
145, 67.65992438337508
146, 67.65992438337508
147, 67.65992438337508
148, 67.71008331127155
149, 67.68028902219999
150, 67.69624822968743
151, 67.69624822968743
152, 67.71940523987494
153, 67.71821992199331
154, 67.72827126416585
155, 67.74322009105461
156, 67.76460712506314
157, 67.786578817369
158, 67.79203811874609
159, 67.79732991640266
160, 67.79732991640266
161, 67.79694664297843
162, 67.80654823800688
163, 67.81167107918444
164, 67.81822428069945
165, 67.82346359645932
166, 67.83498969198637
167, 67.82848264371636
168, 68.09401268850519
169, 68.09401268850519
170, 68.09401268850519
171, 68.09401268850519
172, 68.09401268850519
173, 68.13229203692956
174, 68.16695702182516
175, 68.16695702182516
176, 68.2425805838086
177, 68.28051392099967
178, 68.18684047657189
179, 68.28051392099967
180, 68.16890780599097
181, 68.17556394776358
182, 68.16959545893434
183, 68.16959545893434
184, 68.1792571239051
185, 68.28831874201133
186, 68.28831874201133
187, 68.28831874201133
188, 68.33919876168159
189, 68.45247910069665
190, 68.46505705264742
191, 68.55791852910866
192, 68.48516294818155
193, 68.48516294818155
194, 68.46683397787484
195, 68.48693987340897
196, 68.78872474458433
197, 68.78872474458433
198, 68.78872474458433
199, 68.8213316885375
200, 68.88158622104558
201, 68.88158622104558
202, 68.88158622104558
203, 68.91263844421607
204, 68.93092756617719
205, 68.93092756617719
206, 69.0229269910951
207, 68.93092756617719
208, 68.93092756617719
209, 68.97995076429048
210, 68.93995512708953
211, 68.95253307904032
212, 68.9705361383969
213, 68.9705361383969
214, 68.98346411375205
215, 68.9723130636243
216, 68.99327775171913
217, 68.98470710551231
218, 68.9723130636243
219, 68.98524103897945
220, 68.97897649938606
221, 69.08390671621179
222, 69.07659492649574
223, 69.07659492649574
224, 69.07659492649574
225, 69.01175505840345
226, 68.99241895915841
227, 68.99241895915841
228, 69.00502250351784
229, 69.00264074893437
230, 69.01763524339054
231, 69.00534693451357
232, 69.02520246024568
233, 69.00603873672938
234, 69.02880582491065
235, 69.02994530421289
236, 69.01649126389682
237, 69.05898295908028
238, 69.05898295908028
239, 69.05898295908028
240, 69.05898295908028
241, 69.06768087441239
242, 69.06504602918591
243, 69.07389522487478
244, 69.07634905231
245, 69.06607189922559
246, 69.06607189922559
247, 69.08824718879234
248, 69.17636044610464
249, 69.13526907587311
250, 69.18163231529734
251, 69.19252905166381
252, 69.19252905166381
253, 69.20598309197987
254, 69.20831245378035
255, 69.20831245378035
256, 69.21613577942955
257, 69.23660714710692
258, 69.21613577942955
259, 69.20831245378037
260, 69.21562424349639
261, 69.21704047683386
262, 69.23573013903051
263, 69.23573013903051
264, 69.2243522665499
265, 69.2243522665499
266, 69.22979521061181
267, 69.22979521061181
268, 69.23965593961833
269, 69.23021582654353
270, 69.24649922868744
271, 69.2410982337359
272, 69.2410982337359
273, 69.2378319233515
274, 69.23672536206739
275, 69.23889668475482
276, 69.24602409638344
277, 69.23672536206739
278, 69.23672536206739
279, 69.23929184287302
280, 69.24786880871223
281, 69.24786880871223
282, 69.24786880871223
283, 69.25629203234045
284, 69.24142095894429
285, 69.24142095894429
286, 69.24873274866032
287, 69.2414209589443
288, 69.48539235289054
289, 69.26398777766862
290, 69.26398777766862
291, 69.28409367320273
292, 69.28409367320273
293, 69.29539898701974
294, 69.3947085755828
295, 69.3947085755828
296, 69.39470857558278
297, 69.30797693897054
298, 69.30797693897053
299, 69.61870549657631
300, 69.50135955201667
301, 69.50135955201665
302, 69.50891092391736
303, 69.60798875404382
304, 69.60798875404382
305, 69.61530054375984
306, 69.63723900519138
307, 69.72744292094862
308, 69.75337516964859
309, 69.75337516964859
310, 69.75337516964859
311, 69.75337516964859
312, 69.85295126663782
313, 69.85295126663782
314, 69.96717931946134
315, 69.96717931946134
316, 69.97996759004293
317, 69.98104882339103
318, 69.97101141170246
319, 69.97848234258541
320, 69.96796099616252
321, 69.96826055280945
322, 69.96812084803588
323, 69.97026142969017
324, 69.99106029453621
325, 69.97848234258544
326, 69.98339710668881
327, 69.98738834009686
328, 70.07933077638968
329, 69.990004532936
330, 69.99361889646478
331, 69.9947001298129
332, 69.98339710668881
333, 69.99726661061852
334, 69.9947001298129
335, 69.9861999019559
336, 70.09368565356786
337, 70.20179960868046
338, 70.09368565356786
339, 70.09368565356786
340, 70.20179960868046
341, 70.20179960868047
342, 70.2058628375798
343, 70.20911139839649
344, 70.2091113983965
345, 70.21608462735577
346, 70.20586283757982
347, 70.21973234150951
348, 70.21317462729583
349, 70.21317462729583
350, 70.21317462729583
351, 70.22447765041991
352, 70.46115518568537
353, 70.44009365744151
354, 70.43901242409338
355, 70.43901242409338
356, 70.44009365744151
357, 70.44009365744151
358, 70.43901242409338
359, 70.43697576570537
360, 70.43317113472527
361, 70.44315661003978
362, 70.43317113472527
363, 70.44595940530685
364, 70.43317113472527
365, 70.44447415784937
366, 70.4672623963138
367, 70.43317113472527
368, 70.46553568609322
369, 70.46553568609322
370, 70.46553568609322
371, 70.46565940904809
372, 70.46565940904809
373, 70.46565940904809
374, 70.47683870921732
375, 70.47575747586917
376, 70.47683870921729
377, 70.4768387092173
378, 70.4768387092173
379, 70.46764838046833
380, 70.46764838046833
381, 70.47575747586917
382, 70.46926092481442
383, 70.47575747586919
384, 70.48510235636628
385, 70.46980351823508
386, 70.4695375477165
387, 70.4702080320061
388, 70.47913914274496
389, 70.4702080320061
390, 70.48151105513018
391, 70.48042982178207
392, 70.48151105513018
393, 70.4702080320061
394, 70.48151105513018
395, 70.48042982178207
396, 70.47681545825328
397, 70.48995113525194
398, 70.49178857355332
399, 70.49178857355332
400, 70.49435505435893
401, 70.49577980696137
402, 70.50309159667741
403, 70.50201036332928
404, 70.50309159667741
405, 70.5045768441349
406, 70.49314189988928
407, 70.50201036332928
408, 70.49577980696138
409, 70.49577980696138
410, 70.50201036332928
411, 70.50309159667741
412, 70.49178857355332
413, 70.50201036332928
414, 70.49178857355332
415, 70.49349000164895
416, 70.49178857355332
417, 70.49435505435893
418, 70.4983959998005
419, 70.4983959998005
420, 70.5045768441349
421, 70.50309159667741
422, 70.50309159667741
423, 70.4983959998005
424, 70.49178857355332
425, 70.50201036332928
426, 70.49314189988928
427, 70.49178857355332
428, 70.50201036332928
429, 70.50201036332928
430, 70.50201036332928
431, 70.50665964694949
432, 70.49178857355332
433, 70.4983959998005
434, 70.49178857355332
435, 70.49178857355332
436, 70.5045768441349
437, 70.5045768441349
438, 70.50201036332928
439, 70.50309159667741
440, 70.50309159667741
441, 70.50309159667741
442, 70.50611592806652
443, 70.5061159280665
444, 70.49940870411434
445, 70.49481290494244
446, 70.4961662312784
447, 70.4977072760187
448, 70.4977072760187
449, 70.49481290494244
450, 70.49481290494244
451, 70.49481290494244
452, 70.50503469471839
453, 70.49880413835048
454, 70.49880413835048
455, 70.49772290500238
456, 70.50611592806652
457, 70.5077408802976
458, 70.49481290494245
459, 70.49940870411434
460, 70.5050346947184
461, 70.49481290494245
462, 70.49481290494245
463, 70.5050346947184
464, 70.5050346947184
465, 70.5050346947184
466, 70.49940870411434
467, 70.50611592806654
468, 70.50611592806654
469, 70.49616623127841
470, 70.49616623127841
471, 70.5050346947184
472, 70.50665964694949
473, 70.50611592806652
474, 70.49643785717353
475, 70.49643785717353
476, 70.50611592806652
477, 70.49481290494245
478, 70.5077408802976
479, 70.5077408802976
480, 70.5050346947184
481, 70.49616623127841
482, 70.49481290494245
483, 70.49651433303806
484, 70.49481290494245
485, 70.49481290494245
486, 70.5050346947184
487, 70.5050346947184
488, 70.5050346947184
489, 70.49535522038502
490, 70.50611592806654
491, 70.5050346947184
492, 70.49481290494245
493, 70.50063865448845
494, 70.50611592806652
495, 70.50611592806654
496, 70.50611592806652
497, 70.50611592806652
498, 70.49643785717353
499, 70.5050346947184
